BHK_NO.,SQUARE_FT,LONGITUDE,LATITUDE,PRICE_PER_SQFT,LAT_LONG_INTERACTION,POSTED_BY_Dealer,POSTED_BY_Owner,UNDER_CONSTRUCTION_1,BHK_OR_RK_RK,RERA_1,READY_TO_MOVE_1,RESALE_1,SIZE_CATEGORY_Medium,SIZE_CATEGORY_Large,SIZE_CATEGORY_XLarge
2,709.113608,22.486964,88.313191,0.04004999999943591,1985.895546742124,True,False,True,False,False,False,True,True,False,False
3,1800.370665,27.4,82.96,0.037769999990529726,2273.104,False,True,False,False,False,True,True,False,True,False
6,3280.182232,24.69028,78.41889,0.10975000001158472,1936.1843513892002,True,False,True,False,True,False,True,False,False,True
3,2573.588548,28.522931,77.357078,0.06216999998866951,2206.450598155618,True,False,False,False,False,True,True,False,False,True
2,900.1097695000001,23.166495,72.63429000000001,0.04554999999919454,1682.6819161135502,False,True,False,False,False,True,True,True,False,False
2,775.0269107,28.698133,77.335746,0.04644999999740009,2219.3915243622178,False,True,False,False,False,True,True,True,False,False
1,434.8771472,19.161955,72.839616,0.22995000000312732,1395.74944400928,True,False,True,False,True,False,True,False,False,False
3,1335.311573,23.393362,85.36353100000001,0.033699999992436225,1996.9399822812222,False,True,False,False,False,True,True,False,True,False
3,1838.868389,30.662283,76.822397,0.032519999994409604,2355.5500775523506,True,False,False,False,False,True,True,False,True,False
2,1374.200872,19.1615,72.8731,0.16737000003882985,1396.3579056499998,True,False,False,False,True,True,True,False,True,False
3,1365.949119,26.928785,75.828002,0.025550000006991473,2041.95596283757,True,False,False,False,False,True,True,False,True,False
2,1200.1010609999998,28.716907,77.12469899999999,0.07916000000936589,2214.782808585993,True,False,False,False,False,True,True,False,True,False
3,838.0381087000001,24.69028,78.41889,0.11335999999733663,1936.1843513892002,True,False,False,False,False,True,True,True,False,False
2,1137.158852,18.452663,73.93104,0.05716000001730629,1364.22456635952,True,False,False,False,False,True,True,False,True,False
3,1450.083659,30.73528,76.79111,0.0896499999797598,2360.1962673608,False,True,False,False,False,True,True,False,True,False
1,403.0474318,22.747639000000003,88.600902,0.040690000000143896,2015.4613337703784,False,True,False,False,False,True,True,False,False,False
3,3702.221333,28.403138,77.070052,0.09993999999459244,2189.031322623176,True,False,False,False,False,True,True,False,False,True
3,1322.001889,22.5922,88.484911,0.05294999998294254,1999.0688062941997,False,True,False,False,False,True,True,False,True,False
2,1200.0,16.461088,80.717926,0.0275,1328.704883063488,False,True,False,False,False,True,True,False,True,False
2,1145.0,12.8458,77.6727,0.04,997.7679696600002,True,False,False,False,False,True,True,False,True,False
3,1394.101877,13.1195,77.5837,0.037299999991320575,1017.85935215,False,True,False,False,False,True,True,False,True,False
2,799.7630332,22.316415,73.202906,0.03375999999895969,1633.6264295019898,False,True,False,False,False,True,True,True,False,False
3,1450.075956,19.1955,72.8728,0.14482000003591536,1398.8298324,True,False,True,False,True,False,True,False,True,False
